spell_id,spell_name,skill_line_id,profession,category,min_skill_rank,item_id,item_name,effect_base_points,effect_die_sides,effect_id,trivial_low,trivial_high,acquire_method
587,Conjure Food,237,Arcane,class,1,5349,Conjured Muffin,1,1,24,0,0,0
597,Conjure Food,237,Arcane,class,1,1113,Conjured Bread,1,1,24,0,0,0
759,Conjure Mana Agate,237,Arcane,class,1,5514,Mana Agate,0,1,24,0,0,0
990,Conjure Food,237,Arcane,class,1,1114,Conjured Rye,1,1,24,0,0,0
3552,Conjure Mana Jade,237,Arcane,class,1,5513,Mana Jade,0,1,24,0,0,0
5504,Conjure Water,237,Arcane,class,1,5350,Conjured Water,1,1,24,0,0,0
5505,Conjure Water,237,Arcane,class,1,2288,Conjured Fresh Water,1,1,24,0,0,0
5506,Conjure Water,237,Arcane,class,1,2136,Conjured Purified Water,1,1,24,0,0,0
6127,Conjure Water,237,Arcane,class,1,3772,Conjured Spring Water,1,1,24,0,0,0
6129,Conjure Food,237,Arcane,class,1,1487,Conjured Pumpernickel,1,1,24,0,0,0
10053,Conjure Mana Citrine,237,Arcane,class,1,8007,Mana Citrine,0,1,24,0,0,0
10054,Conjure Mana Ruby,237,Arcane,class,1,8008,Mana Ruby,0,1,24,0,0,0
10138,Conjure Water,237,Arcane,class,1,8077,Conjured Mineral Water,1,1,24,0,0,0
10139,Conjure Water,237,Arcane,class,1,8078,Conjured Sparkling Water,1,1,24,0,0,0
10140,Conjure Water,237,Arcane,class,1,8079,Conjured Crystal Water,9,1,24,0,0,0
10144,Conjure Food,237,Arcane,class,1,8075,Conjured Sourdough,1,1,24,0,0,0
10145,Conjure Food,237,Arcane,class,1,8076,Conjured Sweet Roll,1,1,24,0,0,0
27090,Conjure Water,237,Arcane,class,1,22018,Conjured Glacier Water,9,1,24,0,0,0
27101,Conjure Mana Emerald,237,Arcane,class,1,22044,Mana Emerald,0,1,24,0,0,0
28612,Conjure Food,237,Arcane,class,1,22895,Conjured Cinnamon Roll,9,1,24,0,0,0
33717,Conjure Food,237,Arcane,class,1,22019,Conjured Croissant,9,1,24,0,0,0
37420,Conjure Water,237,Arcane,class,1,30703,Conjured Mountain Spring Water,9,1,24,0,0,0
693,Create Soulstone,354,Demonology,class,1,5232,Minor Soulstone,0,1,24,0,0,0
2362,Create Spellstone,354,Demonology,class,1,5522,Spellstone,0,1,24,0,0,0
6366,Create Firestone,354,Demonology,class,1,1254,Lesser Firestone,0,1,24,0,0,0
17727,Create Spellstone,354,Demonology,class,1,13602,Greater Spellstone,0,1,24,0,0,0
17728,Create Spellstone,354,Demonology,class,1,13603,Major Spellstone,0,1,24,0,0,0
17951,Create Firestone,354,Demonology,class,1,13699,Firestone,0,1,24,0,0,0
17952,Create Firestone,354,Demonology,class,1,13700,Greater Firestone,0,1,24,0,0,0
17953,Create Firestone,354,Demonology,class,1,13701,Major Firestone,0,1,24,0,0,0
20752,Create Soulstone,354,Demonology,class,1,16892,Lesser Soulstone,0,1,24,0,0,0
20755,Create Soulstone,354,Demonology,class,1,16893,Soulstone,0,1,24,0,0,0
20756,Create Soulstone,354,Demonology,class,1,16895,Greater Soulstone,0,1,24,0,0,0
20757,Create Soulstone,354,Demonology,class,1,16896,Major Soulstone,0,1,24,0,0,0
27238,Create Soulstone,354,Demonology,class,1,22116,Master Soulstone,0,1,24,0,0,0
27250,Create Firestone,354,Demonology,class,1,22128,Master Firestone,0,1,24,0,0,0
28172,Create Spellstone,354,Demonology,class,1,22646,Master Spellstone,0,1,24,0,0,0
2835,Deadly Poison,40,Poisons,class,1,2892,Deadly Poison,0,1,24,175,225,0
2837,Deadly Poison II,40,Poisons,class,1,2893,Deadly Poison II,0,1,24,215,265,0
3420,Crippling Poison,40,Poisons,class,1,3775,Crippling Poison,0,1,24,125,175,0
3421,Crippling Poison II,40,Poisons,class,1,3776,Crippling Poison II,0,1,24,275,325,0
5763,Mind-numbing Poison,40,Poisons,class,1,5237,Mind-numbing Poison,0,1,24,150,200,0
8681,Instant Poison,40,Poisons,class,1,6947,Instant Poison,0,1,24,125,175,1
8687,Instant Poison II,40,Poisons,class,1,6949,Instant Poison II,0,1,24,165,215,0
8691,Instant Poison III,40,Poisons,class,1,6950,Instant Poison III,0,1,24,205,255,0
8694,Mind-numbing Poison II,40,Poisons,class,1,6951,Mind-numbing Poison II,0,1,24,215,265,0
11341,Instant Poison IV,40,Poisons,class,1,8926,Instant Poison IV,0,1,24,245,295,0
11342,Instant Poison V,40,Poisons,class,1,8927,Instant Poison V,0,1,24,285,335,0
11343,Instant Poison VI,40,Poisons,class,1,8928,Instant Poison VI,0,1,24,325,375,0
11357,Deadly Poison III,40,Poisons,class,1,8984,Deadly Poison III,0,1,24,255,305,0
11358,Deadly Poison IV,40,Poisons,class,1,8985,Deadly Poison IV,0,1,24,295,345,0
11400,Mind-numbing Poison III,40,Poisons,class,1,9186,Mind-numbing Poison III,0,1,24,285,335,0
13220,Wound Poison,40,Poisons,class,1,10918,Wound Poison,0,1,24,185,235,0
13228,Wound Poison II,40,Poisons,class,1,10920,Wound Poison II,0,1,24,225,275,0
13229,Wound Poison III,40,Poisons,class,1,10921,Wound Poison III,0,1,24,265,315,0
13230,Wound Poison IV,40,Poisons,class,1,10922,Wound Poison IV,0,1,24,305,355,0
25347,Deadly Poison V,40,Poisons,class,1,20844,Deadly Poison V,0,1,24,300,350,0
26786,Anesthetic Poison,40,Poisons,class,1,21835,Anesthetic Poison,0,1,24,340,370,0
26892,Instant Poison VII,40,Poisons,class,1,21927,Instant Poison VII,0,1,24,365,415,0
26969,Deadly Poison VI,40,Poisons,class,1,22053,Deadly Poison VI,0,1,24,345,385,0
27282,Deadly Poison VII,40,Poisons,class,1,22054,Deadly Poison VII,0,1,24,385,425,0
27283,Wound Poison V,40,Poisons,class,1,22055,Wound Poison V,0,1,24,345,395,0
2329,Elixir of Lion's Strength,171,Alchemy,primary,1,2454,Elixir of Lion's Strength,0,1,24,55,95,1
2330,Minor Healing Potion,171,Alchemy,primary,1,118,Minor Healing Potion,0,1,24,55,95,1
2333,Elixir of Lesser Agility,171,Alchemy,primary,1,3390,Elixir of Lesser Agility,0,1,24,165,205,0
3170,Weak Troll's Blood Potion,171,Alchemy,primary,1,3382,Weak Troll's Blood Potion,0,1,24,60,100,0
3171,Elixir of Wisdom,171,Alchemy,primary,1,3383,Elixir of Wisdom,0,1,24,120,160,0
3172,Minor Magic Resistance Potion,171,Alchemy,primary,1,3384,Minor Magic Resistance Potion,0,1,24,135,175,0
3173,Lesser Mana Potion,171,Alchemy,primary,1,3385,Lesser Mana Potion,0,1,24,145,185,0
3174,Potion of Curing,171,Alchemy,primary,1,3386,Potion of Curing,0,1,24,145,185,0
3175,Limited Invulnerability Potion,171,Alchemy,primary,1,3387,Limited Invulnerability Potion,0,1,24,275,315,0
3176,Strong Troll's Blood Potion,171,Alchemy,primary,1,3388,Strong Troll's Blood Potion,0,1,24,150,190,0
3177,Elixir of Defense,171,Alchemy,primary,1,3389,Elixir of Defense,0,1,24,155,195,0
3188,Elixir of Ogre's Strength,171,Alchemy,primary,1,3391,Elixir of Ogre's Strength,0,1,24,175,215,0
3230,Elixir of Minor Agility,171,Alchemy,primary,1,2457,Elixir of Minor Agility,0,1,24,80,120,0
3447,Healing Potion,171,Alchemy,primary,1,929,Healing Potion,0,1,24,135,175,0
3448,Lesser Invisibility Potion,171,Alchemy,primary,1,3823,Lesser Invisibility Potion,0,1,24,185,225,0
3449,Shadow Oil,171,Alchemy,primary,1,3824,Shadow Oil,0,1,24,190,230,0
3450,Elixir of Fortitude,171,Alchemy,primary,1,3825,Elixir of Fortitude,0,1,24,195,235,0
3451,Mighty Troll's Blood Potion,171,Alchemy,primary,1,3826,Mighty Troll's Blood Potion,0,1,24,200,240,0
3452,Mana Potion,171,Alchemy,primary,1,3827,Mana Potion,0,1,24,180,220,0
3453,Elixir of Detect Lesser Invisibility,171,Alchemy,primary,1,3828,Elixir of Detect Lesser Invisibility,0,1,24,215,255,0
3454,Frost Oil,171,Alchemy,primary,1,3829,Frost Oil,0,1,24,220,260,0
4508,Discolored Healing Potion,171,Alchemy,primary,1,4596,Discolored Healing Potion,0,1,24,80,120,0
4942,Lesser Stoneshield Potion,171,Alchemy,primary,1,4623,Lesser Stoneshield Potion,0,1,24,230,270,0
6617,Rage Potion,171,Alchemy,primary,1,5631,Rage Potion,0,1,24,90,130,0
6618,Great Rage Potion,171,Alchemy,primary,1,5633,Great Rage Potion,0,1,24,195,235,0
6619,Cowardly Flight Potion,171,Alchemy,primary,1,5632,Cowardly Flight Potion,0,1,24,150,190,0
6624,Free Action Potion,171,Alchemy,primary,1,5634,Free Action Potion,0,1,24,175,215,0
7179,Elixir of Water Breathing,171,Alchemy,primary,1,5996,Elixir of Water Breathing,0,1,24,120,160,0
