id,name,enchant_id_0,enchant_id_1,enchant_id_2,allocation_pct_0,allocation_pct_1,allocation_pct_2
5,of the Monkey,2802,2803,0,6666,10000,0
6,of the Eagle,2804,2803,0,6666,10000,0
7,of the Bear,2803,2805,0,10000,6666,0
8,of the Whale,2806,2803,0,6666,10000,0
9,of the Owl,2804,2806,0,6666,6666,0
10,of the Gorilla,2804,2805,0,6666,6666,0
11,of the Falcon,2802,2804,0,6666,6666,0
12,of the Boar,2806,2805,0,6666,6666,0
13,of the Wolf,2802,2806,0,6666,6666,0
14,of the Tiger,2802,2805,0,6666,6666,0
15,of Spirit,2806,0,0,10000,0,0
16,of Stamina,2803,0,0,15000,0,0
17,of Strength,2805,0,0,10000,0,0
18,of Agility,2802,0,0,10000,0,0
19,of Intellect,2804,0,0,10000,0,0
20,of Power,2825,0,0,10000,0,0
21,of Arcane Wrath,2807,0,0,14300,0,0
22,of Fiery Wrath,2808,0,0,14300,0,0
23,of Frozen Wrath,2810,0,0,14300,0,0
24,of Nature's Wrath,2809,0,0,14300,0,0
25,of Shadow Wrath,2811,0,0,14300,0,0
26,of Healing,2812,0,0,22000,0,0
27,of Defense,2813,0,0,10000,0,0
28,of Regeneration,2814,0,0,4000,0,0
29,of Eluding,2815,2802,0,6666,6666,0
30,of Concentration,2816,0,0,4000,0,0
31,of Arcane Protection,2803,2817,0,10000,6666,0
32,of Fire Protection,2803,2818,0,10000,6666,0
33,of Frost Protection,2803,2819,0,10000,6666,0
34,of Nature Protection,2803,2820,0,10000,6666,0
35,of Shadow Protection,2803,2821,0,10000,6666,0
36,of the Sorcerer,2803,2804,2824,7889,5259,6153
37,of the Physician,2803,2804,2812,7889,5259,11570
38,of the Prophet,2804,2806,2812,5259,5259,11570
39,of the Invoker,2804,2824,2822,5259,6153,5259
40,of the Bandit,2802,2803,2825,5259,7889,10518
41,of the Beast,2805,2802,2803,5259,5259,7889
42,of the Hierophant,2803,2806,2812,7889,5259,11570
43,of the Soldier,2805,2803,2823,5259,7889,5259
44,of the Elder,2803,2804,2816,7889,5259,2104
45,of the Champion,2805,2803,2813,5259,7889,5259
47,of Blocking,2826,2805,0,6666,6666,0
48,of Paladin Testing,2805,2906,2824,3506,5234,4102
49,of the Grove,2805,2802,2803,7266,4106,4790
50,of the Hunt,2825,2802,2804,14532,4106,3193
51,of the Mind,2824,2822,2804,8501,4106,3193
52,of the Crusade,2824,2804,2813,8501,4106,3193
53,of the Vision,2824,2804,2803,8501,4106,3193
54,of the Ancestor,2805,2823,2803,7266,4106,4790
55,of the Nightmare,2811,2803,2804,8501,6159,3193
56,of the Battle,2805,2803,2823,7266,6159,3193
57,of the Shadow,2825,2802,2803,14532,4106,4790
58,of the Sun,2824,2803,2804,6153,5259,5259
59,of the Moon,2804,2803,2806,5259,5259,5259
60,of the Wild,2825,2803,2802,10518,5259,5259
61,of Healing,2812,0,0,5000,0,0
62,of Strength,2805,0,0,5000,0,0
63,of Agility,2802,0,0,5000,0,0
64,of Power,2825,0,0,10000,0,0
65,of Magic,2824,0,0,5850,0,0
66,of the Knight,2803,2813,2824,7889,5259,6153
68,of the Bear,2805,2803,0,6666,6666,0
69,of the Eagle,2803,2804,0,6666,6666,0
78,of the Monkey,2802,2803,0,6666,6666,0
81,of the Whale,2803,2806,0,6666,6666,0
84,of Stamina,2803,0,0,10000,0,0
324,of Arcane Resistance,2817,0,0,10000,0,0
325,of Dodge,2815,0,0,10000,0,0
326,of Fire Resistance,2818,0,0,10000,0,0
327,of Frost Resistance,2819,0,0,10000,0,0
328,of Nature Resistance,2820,0,0,10000,0,0
329,of Shadow Resistance,2821,0,0,10000,0,0
330,of Restoration,2803,2804,2806,5259,5259,5259
331,of Striking,2803,2825,3726,5259,5259,5259
332,of Sorcery,2803,2804,3726,5259,5259,5259
