Head | Best | Frostfire Circlet
Head | Great | Mish'undare, Circlet of the Mind Flayer
Head | Great | Preceptor's Hat
Head | Good | Enigma Circlet
Head | Optional | Field Marshal's Coronet / Warlord's Silk Cowl
Head | Optional | Lieutenant Commander's Silk Cowl / Champion's Silk Cowl
Head | Optional | Spellweaver's Turban
Head | Optional | Arcanist Crown
Head | Optional | Netherwind Crown
Head | Optional | The Hexxer's Cover
Head | Optional | Crimson Felt Hat
Shoulders | Best | Rime Covered Mantle
Shoulders | Good | Frostfire Shoulderpads
Shoulders | Good | Mantle of the Blackwing Cabal
Shoulders | Good | Mantle of Phrenic Power
Shoulders | Optional | Enigma Shoulderpads
Shoulders | Optional | Lieutenant Commander's Silk Mantle / Champion's Silk Mantle
Shoulders | Optional | Field Marshal's Silk Spaulders / Warlord's Silk Amice
Shoulders | Optional | Netherwind Mantle
Shoulders | Optional | Arcanist Mantle
Shoulders | Optional | Zandalar Illusionist's Mantle
Shoulders | Optional | Kentic Amice
Shoulders | Optional - Frost | Boreal Mantle
Back | Best | Cloak of the Necropolis
Back | Good | Cloak of the Devoured
Back | Good | Cloak of the Brood Lord
Back | Good | Veil of Eclipse
Back | Optional | Cloak of Consumption
Back | Optional | Cloak of the Hakkari Worshipers
Back | Optional | Crystalline Threaded Cape
Back | Optional | Sapphiron Drape
Back | Optional | Spritecaster Cape
Back | Optional | Amplifying Cloak
Back | Optional | Stormpike Sage's Cloak / Frostwolf Advisor's Cloak
Chest | Best | Frostfire Robe
Chest | Great | Crystal Webbed Robe
Chest | Good | Enigma Robes
Chest | Good | Bloodvine Vest
Chest | Optional | Zandalar Illusionist's Robe
Chest | Optional | Robe of Volatile Power
Chest | Optional | Field Marshal's Silk Vestments / Warlord's Silk Raiment
Chest | Optional | Knight-Captain's Silk Tunic / Legionnaire's Silk Tunic
Chest | Optional | Robe of the Archmage
Chest | Optional | Jade Inlaid Vestments
Chest | Optional | Netherwind Robes
Chest | Optional | Robe of Everlasting Night
Chest | Optional | Arcanist Robes
Chest | Optional - Frost | Freezing Lich Robes
Chest | Optional - Frost | Robe of Winter Night
Wrists | Best | The Soul Harvester's Bindings
Wrists | Great | Burrower Bracers
Wrists | Great | Frostfire Bindings
Wrists | Good | Rockfury Bracers
Wrists | Good | Black Bark Wristbands
Wrists | Good | Dryad's Wrist Bindings
Wrists | Good | Bracers of Arcane Accuracy
Wrists | Optional | Netherwind Bindings
Wrists | Optional | Zandalar Illusionist's Wraps
Wrists | Optional | Arcanist Bindings
Wrists | Optional | Sublime Wristguards
Hands | Best | Dark Storm Gauntlets
Hands | Great | Frostfire Gloves
Hands | Great | Gloves of the Hypnotic Flame
